element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""291.22565""","=""0.00007""","=""291.225641""","=""0.000012""","=""468""","=""6.80e+06""",C+,"=""12560.934""","=""46888.517""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",,"=""T5720""","=""L11631""",
Fe,1,"=""291.2273""","=""0.0004""","=""291.227804""","=""0.000019""","=""(5)bl""","=""""",,"=""23110.939""","=""57438.267""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d6.4s.(6D).5d""","=""7S""","=""3""",,"=""""","=""L11631c81""",
Fe,2,"=""291.22987""","=""0.00018""","=""291.229671""","=""0.000015""","=""350""","=""6.e+06""",D,"=""73393.771""","=""107720.879""","=""3d5.4s2""","=""4F""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""291.3058""","=""0.0003""","=""291.30556""","=""0.00003""","=""0""","=""""",,"=""23192.500""","=""57510.666""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""","=""3d7.(4F).6s""","=""5F""","=""3""",,"=""""","=""L11631c80""",
Fe,1,"=""291.3690""","=""0.0003""","=""291.369407""","=""0.000019""","=""1""","=""""",,"=""22996.674""","=""57307.320""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d6.4s.(6D).5d""","=""7F""","=""4""",,"=""""","=""L11631c80""",
Fe,1,"=""291.41964""","=""0.00013""","=""291.419623""","=""0.000012""","=""219""","=""""",,"=""18378.186""","=""52682.920""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(2D2).4p""","=""t 3D*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""291.43032""","=""0.00007""","=""291.430336""","=""0.000012""","=""500""","=""9.90e+06""",C+,"=""12968.554""","=""47272.027""","=""3d7.(4F).4s""","=""a 3F""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""1""",,"=""T5720""","=""L11631""",
Fe,2,"=""291.4460""","=""0.0005""","=""291.446658""","=""0.000016""","=""80""","=""""",,"=""78577.263""","=""112878.815""","=""3d5.4s2""","=""2G2""","=""9/2""","=""3d6.(5D<4>).5f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c143""",
Fe,1,"=""291.4513""","=""0.0003""","=""291.45141""","=""0.00003""","=""0d?""","=""""",,"=""24180.862""","=""58481.855""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.4s.(4D).4d""","=""5P""","=""3""",,"=""""","=""L11631c80""",
Fe,2,"=""291.4607""","=""0.0005""","=""291.460008""","=""0.000021""","=""600d?""","=""""",,"=""52299.810""","=""86599.791""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""5/2""","=""3d6.(5D).4d""","=""e 4F""","=""5/2""",,"=""""","=""L18349c143""",
Fe,1,"=""291.4649""","=""0.0003""","=""291.46455""","=""0.00003""","=""0d?""","=""""",,"=""24180.862""","=""58480.308""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d6.4s.(6D).7s""","=""7D""","=""3""",,"=""""","=""L11631c80""",
Fe,1,"=""291.5271""","=""0.0003""","=""291.526186""","=""0.000019""","=""0d""","=""""",,"=""23110.939""","=""57403.134""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""","=""3d6.4s.(6D).5d""","=""5P""","=""2""",,"=""""","=""L11631c80""",
