element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,"=""""","=""1013.806""","=""0.015""","=""""","=""4.6166e+05""",AAA,"=""[582642.10]""","=""[592503.22]""","=""1s.4f""","=""3F*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1013.806""","=""0.015""","=""""","=""2.6476e+06""",AAA,"=""[582642.10]""","=""[592503.22]""","=""1s.4f""","=""3F*""","=""3""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1013.846""","=""0.023""","=""""","=""2.4934e+06""",AAA,"=""[582642.10]""","=""[592502.83]""","=""1s.4f""","=""3F*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1013.848""","=""0.015""","=""""","=""1.364e+05""",AA,"=""[582643.17]""","=""[592503.88]""","=""1s.4f""","=""1F*""","=""3""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1013.916""","=""0.015""","=""""","=""1.046e+06""",AA,"=""[582643.17]""","=""[592503.22]""","=""1s.4f""","=""1F*""","=""3""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1022.0""","=""0.3""","=""""","=""8.6850e+01""",AAA,"=""[582836.5]""","=""[592618.4]""","=""1s.4p""","=""1P*""","=""1""","=""1s.5p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
Li,2,"=""""","=""1033.09""","=""0.13""","=""""","=""1.2211e+08""",AAA,"=""[582836.5]""","=""[592513.56]""","=""1s.4p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1034.19""","=""0.13""","=""""","=""1.818e+04""",AA,"=""[582836.5]""","=""[592503.22]""","=""1s.4p""","=""1P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1049.947""","=""0.025""","=""""","=""2.3800e+05""",AAA,"=""[582612.15]""","=""[592133.83]""","=""1s.4d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1049.990""","=""0.016""","=""""","=""3.5694e+06""",AAA,"=""[582612.54]""","=""[592133.83]""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1050.021""","=""0.025""","=""""","=""3.5700e+06""",AAA,"=""[582612.15]""","=""[592133.16]""","=""1s.4d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1050.063""","=""0.025""","=""""","=""4.7601e+06""",AAA,"=""[582612.15]""","=""[592132.78]""","=""1s.4d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1050.063""","=""0.016""","=""""","=""1.9992e+07""",AAA,"=""[582613.20]""","=""[592133.83]""","=""1s.4d""","=""3D""","=""3""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""1050.064""","=""0.016""","=""""","=""1.0708e+07""",AAA,"=""[582612.54]""","=""[592133.16]""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
