element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,3,"=""""","=""""","=""646.029""","=""""","=""""","=""1.32e+07""",B,"=""343258.03""","=""358732.93""","=""1s2.2s.5p""","=""1P*""","=""1""","=""1s2.2s.6d""","=""1D""","=""2""",,"=""T5633""","=""""",
C,2,"=""646.185""","=""0.004""","=""646.181""","=""0.005""","=""64*""","=""2.20e+07""",B,"=""168978.24""","=""184449.50""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6g""","=""2G""","=""7/2""",,"=""T7476""","=""L21568,L1176""",
C,2,"=""646.185""","=""0.004""","=""646.187""","=""0.005""","=""64*""","=""2.29e+07""",B,"=""168978.42""","=""184449.54""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6g""","=""2G""","=""9/2""",,"=""T7476""","=""L21568,L1176""",
C,2,"=""646.185""","=""0.004""","=""646.189""","=""0.005""","=""64*""","=""8.1e+05""",C,"=""168978.42""","=""184449.50""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6g""","=""2G""","=""7/2""",,"=""T10276""","=""L21568,L1176""",
C,2,"=""""","=""""","=""651.491""","=""0.006""","=""""","=""6.81e+05""",B,"=""168729.51""","=""184074.67""","=""2p3""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""652.259""","=""0.006""","=""""","=""8.15e+05""",B,"=""168748.26""","=""184075.36""","=""2p3""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""652.288""","=""0.006""","=""""","=""1.36e+05""",B,"=""168748.26""","=""184074.67""","=""2p3""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
C,1,"=""656.8708""","=""0.0014""","=""656.8727""","=""0.0008""","=""4100""","=""3.5e+05""",D,"=""72610.73530""","=""87830.18""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.6d""","=""1P*""","=""1""",,"=""T5520""","=""L17684""",
C,2,"=""657.80481""","=""0.00008""","=""657.80481""","=""0.00008""","=""510""","=""3.66e+07""",A,"=""116537.648""","=""131735.528""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.3p""","=""2P*""","=""3/2""",,"=""T7194""","=""L22145,L21572""",
C,1,"=""657.8772""","=""0.0014""","=""657.8769""","=""0.0013""","=""3600""","=""""",,"=""72610.73530""","=""87806.95""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.6d""","=""1F*""","=""3""",,"=""""","=""L17684""",
C,2,"=""658.28764""","=""0.00012""","=""658.28760""","=""0.00013""","=""310""","=""3.65e+07""",A,"=""116537.648""","=""131724.382""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.3p""","=""2P*""","=""1/2""",,"=""T7194""","=""L22145,L21572""",
C,1,"=""658.6273""","=""0.0014""","=""658.6269""","=""0.0007""","=""3600""","=""5.e+05""",D,"=""72610.73530""","=""87789.646""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.7s""","=""1P*""","=""1""",,"=""T5520""","=""L17684""",
C,1,"=""658.7608""","=""0.0014""","=""658.76211""","=""0.00003""","=""40000""","=""5.1e+06""",B,"=""68856.35208""","=""84032.1471""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.4d""","=""1P*""","=""1""",,"=""T5520,T6070""","=""L17684""",
C,1,"=""659.1446""","=""0.0014""","=""659.1457""","=""0.0006""","=""2300""","=""2.0e+05""",D,"=""71352.54344""","=""86519.506""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.5d""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,4,"=""""","=""""","=""659.153""","=""""","=""""","=""1.26e+07""",B+,"=""468784.0""","=""[483950.8]""","=""1s2.6s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
C,4,"=""""","=""""","=""659.257""","=""""","=""""","=""1.26e+07""",B+,"=""468784.0""","=""[483948.4]""","=""1s2.6s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
C,1,"=""659.5240""","=""0.0014""","=""659.5244""","=""0.0010""","=""2300""","=""6.e+05""",D,"=""71364.93596""","=""86523.19""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.5d""","=""3P*""","=""0""",,"=""T5520LS""","=""L17684""",
C,1,"=""659.6849""","=""0.0014""","=""659.6848""","=""0.0006""","=""3000""","=""1.5e+05""",D,"=""71364.93596""","=""86519.506""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.5d""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""660.2416""","=""0.0014""","=""660.24208""","=""0.00009""","=""5300""","=""1.3e+06""",D,"=""71364.93596""","=""86506.7138""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.5d""","=""3P*""","=""2""",,"=""T5520LS""","=""L17684""",
C,1,"=""660.5785""","=""0.0014""","=""660.5772""","=""0.0006""","=""2300""","=""2.5e+05""",D,"=""71385.40992""","=""86519.506""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.5d""","=""3P*""","=""1""",,"=""T5520LS""","=""L17684""",
C,1,"=""661.1354""","=""0.0014""","=""661.13604""","=""0.00009""","=""7900""","=""4.4e+05""",D,"=""71385.40992""","=""86506.7138""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.5d""","=""3P*""","=""2""",,"=""T5520LS""","=""L17684""",
C,1,"=""661.7241""","=""0.0014""","=""661.7249""","=""0.0007""","=""2000""","=""""",,"=""72610.73530""","=""87718.583""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.7s""","=""3P*""","=""1""",,"=""""","=""L17684""",
C,2,"=""662.205""","=""0.009""","=""662.195""","=""0.007""","=""5H*""","=""3.0e+04""",D+,"=""168978.24""","=""184075.36""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""T10276""","=""L1176""",
C,2,"=""662.205""","=""0.009""","=""662.203""","=""0.007""","=""5H*""","=""5.9e+05""",D+,"=""168978.42""","=""184075.36""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""T10276""","=""L1176""",
C,2,"=""662.205""","=""0.009""","=""662.225""","=""0.007""","=""5H*""","=""6.2e+05""",D+,"=""168978.24""","=""184074.67""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""T10276""","=""L1176""",
C,1,"=""665.10""","=""0.03""","=""665.1008""","=""0.0008""","=""4200d""","=""""",,"=""71385.40992""","=""86416.575""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.6s""","=""1P*""","=""1""",,"=""""","=""L2138""",
C,1,"=""665.3946""","=""0.0014""","=""665.3963""","=""0.0008""","=""2400""","=""""",,"=""71364.93596""","=""86389.425""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.5d""","=""3D*""","=""2""",,"=""""","=""L17684""",
C,1,"=""665.4609""","=""0.0014""","=""665.4607""","=""0.0013""","=""5900""","=""2.9e+05""",D,"=""72610.73530""","=""87633.77""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.6d""","=""1D*""","=""2""",,"=""T5520""","=""L17684""",
C,1,"=""665.5509""","=""0.0014""","=""665.55294""","=""0.00022""","=""20000""","=""5.0e+05""",C,"=""68856.35208""","=""83877.305""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.5s""","=""1P*""","=""1""",,"=""T5520,T6070""","=""L17684""",
C,1,"=""""","=""""","=""665.9312""","=""0.0018""","=""m""","=""""",,"=""71385.40992""","=""86397.83""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.5d""","=""3D*""","=""3""",,"=""""","=""L17684""",
