element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,3,"=""""","=""922.647""","=""""","=""""","=""6.94e+06""",C+,"=""439342.3""","=""450177.71""","=""2s.2p2.(4P).4p""","=""5P*""","=""2""","=""2s.2p2.(4P).4d""","=""5P""","=""3""",,"=""T5376LS""","=""""",
O,2,"=""923.623""","=""923.623""","=""""","=""8""","=""""",,"=""254896.42""","=""265720.38""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""923.864""","=""923.864""","=""""","=""5""","=""""",,"=""255142.41""","=""265963.54""","=""2s2.2p2.(3P).4d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""""","=""924.508""","=""""","=""""","=""9.16e+06""",C+,"=""428627.20""","=""439440.8""","=""2s.2p2.(4P).4s""","=""5P""","=""2""","=""2s.2p2.(4P).4p""","=""5P*""","=""3""",,"=""T5376LS""","=""""",
O,3,"=""""","=""924.812""","=""""","=""""","=""9.65e+06""",C+,"=""439440.8""","=""450250.84""","=""2s.2p2.(4P).4p""","=""5P*""","=""3""","=""2s.2p2.(4P).4d""","=""5P""","=""2""",,"=""T5376LS""","=""""",
O,1,"=""926.081""","=""926.0806""","=""""","=""450""","=""4.46e+07""",A,"=""86625.757""","=""97420.991""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""",,"=""T5803,LS""","=""L3760""",
O,1,"=""926.084""","=""926.0848""","=""""","=""490""","=""3.34e+07""",A,"=""86625.757""","=""97420.942""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""",,"=""T5803,LS""","=""L3760""",
O,1,"=""926.094""","=""926.0936""","=""""","=""450""","=""1.56e+07""",A,"=""86625.757""","=""97420.839""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""",,"=""T5803,LS""","=""L3760""",
O,1,"=""926.258""","=""926.2582""","=""""","=""400""","=""1.11e+07""",A,"=""86627.778""","=""97420.942""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""",,"=""T5803,LS""","=""L3760""",
O,1,"=""926.267""","=""926.2670""","=""""","=""540""","=""2.60e+07""",A,"=""86627.778""","=""97420.839""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""",,"=""T5803,LS""","=""L3760""",
O,1,"=""926.277""","=""926.2776""","=""""","=""590""","=""2.97e+07""",A,"=""86627.778""","=""97420.716""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""",,"=""T5803,LS""","=""L3760""",
O,3,"=""""","=""926.545""","=""""","=""""","=""6.09e+06""",C+,"=""366595.76""","=""377385.58""","=""2s2.2p.(2P*).4p""","=""3D""","=""2""","=""2s2.2p.(2P*).4d""","=""3F*""","=""2""",,"=""T5376LS""","=""""",
O,3,"=""""","=""926.553""","=""""","=""""","=""6.82e+06""",C+,"=""428500.87""","=""439290.6""","=""2s.2p2.(4P).4s""","=""5P""","=""1""","=""2s.2p2.(4P).4p""","=""5P*""","=""1""",,"=""T5376LS""","=""""",
O,1,"=""""","=""926.5826""","=""""","=""""","=""2.97e+06""",A,"=""86631.454""","=""97420.839""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""",,"=""T5803,LS""","=""""",
O,1,"=""926.594""","=""926.5932""","=""""","=""490""","=""1.48e+07""",A,"=""86631.454""","=""97420.716""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""",,"=""T5803,LS""","=""L3760""",
O,1,"=""926.601""","=""926.6006""","=""""","=""640""","=""4.45e+07""",A,"=""86631.454""","=""97420.630""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""",,"=""T5803,LS""","=""L3760""",
O,2,"=""""","=""928.012""","=""""","=""""","=""3.46e+04""",D,"=""248515.30""","=""259288.07""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5723LS""","=""""",
O,2,"=""""","=""928.051""","=""""","=""""","=""2.07e+05""",D,"=""248515.30""","=""259287.61""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",,"=""T5723LS""","=""""",
O,3,"=""""","=""929.140""","=""""","=""""","=""4.32e+06""",C+,"=""366802.62""","=""377562.31""","=""2s2.2p.(2P*).4p""","=""3D""","=""3""","=""2s2.2p.(2P*).4d""","=""3F*""","=""3""",,"=""T5376LS""","=""""",
O,2,"=""930.655""","=""930.655""","=""""","=""4""","=""""",,"=""254896.42""","=""265638.59""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,3,"=""""","=""931.111""","=""""","=""""","=""1.35e+07""",C+,"=""439440.8""","=""450177.71""","=""2s.2p2.(4P).4p""","=""5P*""","=""3""","=""2s.2p2.(4P).4d""","=""5P""","=""3""",,"=""T5376LS""","=""""",
O,2,"=""931.712""","=""931.713""","=""""","=""6""","=""""",,"=""255163.08""","=""265893.06""","=""2s2.2p2.(3P).4d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,3,"=""""","=""933.006""","=""""","=""""","=""2.23e+06""",C+,"=""428627.20""","=""439342.3""","=""2s.2p2.(4P).4s""","=""5P""","=""2""","=""2s.2p2.(4P).4p""","=""5P*""","=""2""",,"=""T5376LS""","=""""",
O,6,"=""""","=""934.175""","=""""","=""""","=""1.18e+07""",A,"=""852696""","=""863397.7""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
O,3,"=""""","=""937.530""","=""""","=""""","=""1.98e+07""",C+,"=""428627.20""","=""439290.6""","=""2s.2p2.(4P).4s""","=""5P""","=""2""","=""2s.2p2.(4P).4p""","=""5P*""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""""","=""938.806""","=""""","=""""","=""1.75e+07""",C+,"=""428791.89""","=""439440.8""","=""2s.2p2.(4P).4s""","=""5P""","=""3""","=""2s.2p2.(4P).4p""","=""5P*""","=""3""",,"=""T5376LS""","=""""",
O,2,"=""""","=""938.908""","=""""","=""""","=""2.58e+06""",D,"=""251222.19""","=""261869.94""","=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""T5723LS""","=""""",
O,2,"=""""","=""939.137""","=""""","=""""","=""2.86e+05""",D,"=""251224.79""","=""261869.94""","=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",,"=""T5723LS""","=""""",
O,4,"=""""","=""939.592""","=""""","=""""","=""1.65e+06""",B,"=""573901""","=""584541""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,6,"=""""","=""939.786""","=""""","=""""","=""1.16e+07""",A,"=""852696""","=""863333.8""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
O,1,"=""939.919""","=""939.9192+""","=""""","=""185""","=""""",,"=""102662.026""","=""113298.320""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",,"=""""","=""L3760""",
O,2,"=""941.772""","=""941.772""","=""""","=""4""","=""""",,"=""255105.01""","=""265720.38""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""942.149""","=""942.148""","=""""","=""6""","=""""",,"=""255281.93""","=""265893.06""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""""","=""943.483""","=""""","=""""","=""3.52e+06""",C,"=""248010.23""","=""258606.35""","=""2s2.2p2.(3P).4p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""T5723LS""","=""""",
O,3,"=""""","=""944.656""","=""""","=""""","=""1.62e+05""",C+,"=""366802.62""","=""377385.58""","=""2s2.2p.(2P*).4p""","=""3D""","=""3""","=""2s2.2p.(2P*).4d""","=""3F*""","=""2""",,"=""T5376LS""","=""""",
O,4,"=""""","=""945.385""","=""""","=""""","=""1.87e+07""",B,"=""499994.9""","=""510569.7""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.4d""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""945.791""","=""945.789""","=""""","=""9""","=""3.77e+06""",C+,"=""229947.07""","=""240517.35""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,3,"=""""","=""947.571""","=""""","=""""","=""1.19e+07""",C+,"=""428791.89""","=""439342.3""","=""2s.2p2.(4P).4s""","=""5P""","=""3""","=""2s.2p2.(4P).4p""","=""5P*""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""""","=""947.705""","=""""","=""""","=""4.16e+05""",C+,"=""229968.44""","=""240517.35""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L11267""",
O,1,"=""948.116""","=""948.1164+""","=""""","=""120""","=""""",,"=""113714.444""","=""124258.780""","=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""2s2.2p3.(2D*<3/2>).3d""","=""1G*""","=""4""",,"=""""","=""L3760""",
O,1,"=""948.288""","=""948.2888""","=""""","=""120bl""","=""2.34e+07""",B,"=""102662.026""","=""113204.445""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""1P""","=""1""",,"=""T5713""","=""L3760""",
O,1,"=""948.743""","=""948.7434+""","=""""","=""235""","=""""",,"=""113721.413""","=""124258.780""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*<3/2>).3d""","=""1G*""","=""4""",,"=""""","=""L3760""",
O,4,"=""""","=""948.839""","=""""","=""""","=""2.22e+07""",B,"=""500037.8""","=""510574.1""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""949.079""","=""949.078""","=""""","=""5""","=""""",,"=""255466.10""","=""265999.75""","=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,4,"=""""","=""949.236""","=""""","=""""","=""3.70e+06""",B,"=""500037.8""","=""510569.7""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,1,"=""949.271""","=""949.2708+""","=""""","=""140""","=""""",,"=""113721.413""","=""124252.926""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*).3d""","=""3G*""","=""3""",,"=""""","=""L3760""",
O,1,"=""949.797""","=""949.7974+""","=""""","=""265""","=""""",,"=""113714.444""","=""124240.118""","=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""2s2.2p3.(2D*).3d""","=""3G*""","=""5""",,"=""""","=""L3760""",
O,1,"=""949.930""","=""949.9299+""","=""""","=""160""","=""""",,"=""113714.444""","=""124238.650""","=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""2s2.2p3.(2D*).3d""","=""3G*""","=""4""",,"=""""","=""L3760""",
O,1,"=""950.559""","=""950.5593+""","=""""","=""235""","=""""",,"=""113721.413""","=""124238.650""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*).3d""","=""3G*""","=""4""",,"=""""","=""L3760""",
O,1,"=""952.196""","=""952.1957+""","=""""","=""210""","=""""",,"=""113714.444""","=""124213.607""","=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""2s2.2p3.(2D*<5/2>).3d""","=""3F*""","=""4""",,"=""""","=""L3760""",
O,1,"=""952.336""","=""952.3364+""","=""""","=""120""","=""""",,"=""113721.413""","=""124219.025""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*<5/2>).3d""","=""3F*""","=""3""",,"=""""","=""L3760""",
O,1,"=""952.396""","=""952.3962+""","=""""","=""120""","=""""",,"=""113727.165""","=""124224.118""","=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","=""2s2.2p3.(2D*<5/2>).3d""","=""3F*""","=""2""",,"=""""","=""L3760""",
O,1,"=""952.828""","=""952.8281+""","=""""","=""100""","=""""",,"=""113721.413""","=""124213.607""","=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""2s2.2p3.(2D*<5/2>).3d""","=""3F*""","=""4""",,"=""""","=""L3760""",
O,3,"=""""","=""953.822""","=""""","=""""","=""5.41e+06""",C+,"=""367953.90""","=""378435.16""","=""2s2.2p.(2P*).4p""","=""3S""","=""1""","=""2s.2p2.(4P).3p""","=""3P*""","=""0""",,"=""T5376LS""","=""""",
O,2,"=""""","=""954.487""","=""""","=""""","=""2.05e+06""",D,"=""251224.79""","=""261698.75""","=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",,"=""T5723LS""","=""""",
O,2,"=""955.375""","=""955.376""","=""""","=""9*""","=""""",,"=""255466.10""","=""265930.31""","=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""955.375""","=""955.380""","=""""","=""9*""","=""""",,"=""255302.11""","=""265766.28""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,3,"=""""","=""955.401""","=""""","=""""","=""5.38e+06""",C+,"=""367953.90""","=""378417.84""","=""2s2.2p.(2P*).4p""","=""3S""","=""1""","=""2s.2p2.(4P).3p""","=""3P*""","=""1""",,"=""T5376LS""","=""""",
O,2,"=""955.646""","=""955.647""","=""""","=""7""","=""""",,"=""255302.11""","=""265763.36""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,3,"=""""","=""956.512""","=""""","=""""","=""5.36e+06""",C+,"=""367953.90""","=""378405.68""","=""2s2.2p.(2P*).4p""","=""3S""","=""1""","=""2s.2p2.(4P).3p""","=""3P*""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""959.454""","=""959.456""","=""""","=""10""","=""3.01e+07""",C,"=""248186.64""","=""258606.35""","=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""961.180""","=""961.180""","=""""","=""9""","=""3.33e+07""",C,"=""248010.23""","=""258411.26""","=""2s2.2p2.(3P).4p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,1,"=""962.213""","=""962.2114""","=""""","=""100""","=""5.22e+04""",C+,"=""102908.443""","=""113298.320""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""L3760""",
O,1,"=""""","=""962.2156""","=""""","=""""","=""1.57e+05""",C+,"=""102908.489""","=""113298.320""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""""",
O,3,"=""""","=""962.317""","=""""","=""""","=""1.74e+06""",C+,"=""370329.18""","=""380717.92""","=""2s2.2p.(2P*).4p""","=""3P""","=""0""","=""2s2.2p.(2P*).4d""","=""3P*""","=""1""",,"=""T5376LS""","=""""",
O,1,"=""""","=""962.5261""","=""""","=""""","=""3.25e+04""",C+,"=""102908.374""","=""113294.854""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""962.529""","=""962.5296""","=""""","=""120""","=""1.85e+05""",C+,"=""102908.374""","=""113294.816""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""L3760""",
O,1,"=""""","=""962.5325""","=""""","=""""","=""1.45e+05""",C+,"=""102908.443""","=""113294.854""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""962.5360""","=""""","=""""","=""2.32e+04""",C+,"=""102908.443""","=""113294.816""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""962.5367""","=""""","=""""","=""3.13e+04""",C+,"=""102908.489""","=""113294.854""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
O,4,"=""""","=""964.707""","=""""","=""""","=""3.61e+05""",C+,"=""596331""","=""606694""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""","=""2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""964.840""","=""964.840""","=""""","=""7""","=""3.94e+06""",C+,"=""229968.44""","=""240330.01""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,1,"=""967.738""","=""967.7382+""","=""""","=""160""","=""""",,"=""113996.239""","=""124326.779""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2D*<3/2>).3d""","=""1F*""","=""3""",,"=""""","=""L3760""",
O,3,"=""""","=""968.850""","=""""","=""""","=""5.13e+06""",C+,"=""370418.32""","=""380737.00""","=""2s2.2p.(2P*).4p""","=""3P""","=""1""","=""2s2.2p.(2P*).4d""","=""3P*""","=""0""",,"=""T5376LS""","=""""",
O,1,"=""969.466""","=""969.4661""","=""""","=""80""","=""4.54e+04""",C+,"=""95476.728""","=""105788.856""","=""2s2.2p3.(4S*).4s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).6p""","=""5P""","=""3""",,"=""T5713LS""","=""L3760""",
O,1,"=""969.491""","=""969.4906""","=""""","=""65""","=""4.54e+04""",C+,"=""95476.728""","=""105788.595""","=""2s2.2p3.(4S*).4s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).6p""","=""5P""","=""2""",,"=""T5713LS""","=""L3760""",
O,1,"=""""","=""969.5060""","=""""","=""""","=""4.54e+04""",C+,"=""95476.728""","=""105788.431""","=""2s2.2p3.(4S*).4s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).6p""","=""5P""","=""1""",,"=""T5713LS""","=""""",
O,3,"=""""","=""970.645""","=""""","=""""","=""1.27e+06""",C+,"=""370418.32""","=""380717.92""","=""2s2.2p.(2P*).4p""","=""3P""","=""1""","=""2s2.2p.(2P*).4d""","=""3P*""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""""","=""971.722""","=""""","=""""","=""1.27e+06""",C+,"=""370418.32""","=""380706.51""","=""2s2.2p.(2P*).4p""","=""3P""","=""1""","=""2s2.2p.(2P*).4d""","=""3P*""","=""2""",,"=""T5376LS""","=""""",
O,1,"=""974.150""","=""974.1504+""","=""""","=""235""","=""""",,"=""113996.239""","=""124258.780""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2D*<3/2>).3d""","=""1G*""","=""4""",,"=""""","=""L3760""",
O,4,"=""""","=""975.342""","=""""","=""""","=""7.86e+04""",C+,"=""596444""","=""606694""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""","=""2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""975.853""","=""975.853""","=""""","=""9""","=""""",,"=""245037.29""","=""255281.93""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""",,"=""""","=""L10621""",
O,1,"=""976.065""","=""976.0650+""","=""""","=""235""","=""""",,"=""113996.239""","=""124238.650""","=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""2s2.2p3.(2D*).3d""","=""3G*""","=""4""",,"=""""","=""L3760""",
O,2,"=""980.461""","=""980.460""","=""""","=""7""","=""""",,"=""255827.657""","=""266024.16""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""9/2""","=""2s2.2p2.(3P<2>).5g""","=""2[5]""","=""11/2""",,"=""""","=""L6336""",
O,2,"=""980.636""","=""980.644""","=""""","=""6""","=""""",,"=""255829.58""","=""266024.16""","=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""7/2""","=""2s2.2p2.(3P<2>).5g""","=""2[5]""","=""9/2""",,"=""""","=""L6336""",
O,2,"=""980.673""","=""980.676""","=""""","=""6""","=""""",,"=""255813.472""","=""266007.72""","=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""5/2""","=""2s2.2p2.(3P<2>).5g""","=""2[3]""","=""7/2""",,"=""""","=""L6336""",
O,3,"=""""","=""980.948""","=""""","=""""","=""2.06e+06""",C+,"=""370526.49""","=""380717.92""","=""2s2.2p.(2P*).4p""","=""3P""","=""2""","=""2s2.2p.(2P*).4d""","=""3P*""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""""","=""981.369""","=""""","=""""","=""2.30e+06""",B,"=""370902.22""","=""381089.27""","=""2s2.2p.(2P*).4p""","=""1D""","=""2""","=""2s2.2p.(2P*).4d""","=""1P*""","=""1""",,"=""T5376""","=""""",
O,4,"=""""","=""981.895""","=""""","=""""","=""8.56e+03""",C,"=""596512.4""","=""606694""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""","=""2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T5109LS""","=""""",
O,3,"=""""","=""982.047""","=""""","=""""","=""3.69e+06""",C+,"=""370526.49""","=""380706.51""","=""2s2.2p.(2P*).4p""","=""3P""","=""2""","=""2s2.2p.(2P*).4d""","=""3P*""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""""","=""982.055""","=""""","=""""","=""2.17e+06""",C,"=""248426.41""","=""258606.35""","=""2s2.2p2.(3P).4p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""T5723LS""","=""""",
O,1,"=""""","=""982.5789""","=""""","=""""","=""1.34e+06""",C+,"=""97420.630""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","=""2s2.2p3.(4S*).7f""","=""5F""","=""5""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5789""","=""""","=""""","=""2.24e+05""",C+,"=""97420.630""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","=""2s2.2p3.(4S*).7f""","=""5F""","=""4""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5789""","=""""","=""""","=""1.92e+04""",C+,"=""97420.630""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","=""2s2.2p3.(4S*).7f""","=""5F""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5872""","=""""","=""""","=""1.12e+06""",C+,"=""97420.716""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""2s2.2p3.(4S*).7f""","=""5F""","=""4""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5872""","=""""","=""""","=""4.03e+05""",C+,"=""97420.716""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""2s2.2p3.(4S*).7f""","=""5F""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5872""","=""""","=""""","=""5.37e+04""",C+,"=""97420.716""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""2s2.2p3.(4S*).7f""","=""5F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5991""","=""""","=""""","=""9.21e+05""",C+,"=""97420.839""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""2s2.2p3.(4S*).7f""","=""5F""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5991""","=""""","=""""","=""5.37e+05""",C+,"=""97420.839""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""2s2.2p3.(4S*).7f""","=""5F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.5991""","=""""","=""""","=""8.95e+04""",C+,"=""97420.839""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""2s2.2p3.(4S*).7f""","=""5F""","=""1""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.6090""","=""""","=""""","=""7.52e+05""",C+,"=""97420.942""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""","=""2s2.2p3.(4S*).7f""","=""5F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.6090""","=""""","=""""","=""6.27e+05""",C+,"=""97420.942""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""","=""2s2.2p3.(4S*).7f""","=""5F""","=""1""",,"=""T5713LS""","=""""",
O,1,"=""""","=""982.6137""","=""""","=""""","=""6.27e+05""",C+,"=""97420.991""","=""107595.140""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""","=""2s2.2p3.(4S*).7f""","=""5F""","=""1""",,"=""T5713LS""","=""""",
O,2,"=""""","=""985.004""","=""""","=""""","=""""",,"=""255842.91""","=""265992.37""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,4,"=""""","=""986.507""","=""""","=""""","=""2.66e+05""",C+,"=""596444""","=""606578""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""","=""2p2.(3P).3p""","=""4P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""989.112""","=""989.112""","=""""","=""7""","=""""",,"=""255897.59""","=""266004.90""","=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
