element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,1,"=""""","=""382.38679""","=""""","=""""","=""1.87e+05""",C,"=""101147.526""","=""127291.638""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""""",
O,1,"=""""","=""382.43491""","=""""","=""""","=""5.19e+05""",C+,"=""101147.526""","=""127288.349""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""382.50232""","=""""","=""""","=""5.59e+05""",C+,"=""101155.422""","=""127291.638""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2P*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""""",
O,1,"=""""","=""382.51865""","=""""","=""""","=""8.31e+04""",C,"=""101147.526""","=""127282.626""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""382.55046""","=""""","=""""","=""1.12e+05""",C,"=""101155.422""","=""127288.349""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2P*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
O,2,"=""383.0290""","=""383.0281""","=""""","=""13""","=""1.33e+07""",C,"=""214229.671""","=""240330.01""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""383.3074""","=""383.30706""","=""""","=""12""","=""1.02e+06""",C,"=""206877.865""","=""232959.210""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",,"=""T6172""","=""L10621""",
O,6,"=""""","=""383.424""","=""""","=""""","=""5.05e+07""",A,"=""640039.8""","=""666113.2""","=""1s2.3s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
O,2,"=""383.5855""","=""383.58605""","=""""","=""4""","=""2.45e+04""",C,"=""208392.258""","=""234454.634""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T6172""","=""L10621""",
O,2,"=""""","=""383.66972""","=""""","=""""","=""1.64e+04""",C,"=""208346.104""","=""234402.797""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T6172""","=""""",
O,4,"=""""","=""383.759""","=""""","=""""","=""2.16e+06""",C+,"=""570797""","=""596847.6""","=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""2G""","=""9/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""384.107""","=""""","=""""","=""3.91e+07""",B,"=""549792""","=""575819""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""2s.2p.(1P*).3d""","=""2D*""","=""3/2""",,"=""T5109LS""","=""""",
