element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,1,"=""776.161""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""777.165""","=""""","=""777.165""","=""0.004""","=""6""","=""""",,"=""38259.40""","=""51123.14""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""5D""","=""4""",,"=""""","=""L153""",
W,1,"=""777.252""","=""""","=""777.251""","=""0.004""","=""8""","=""""",,"=""28720.88""","=""41583.20""","=""5d5.(4P).6s""","=""3P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""777.468""","=""""","=""777.466""","=""0.004""","=""10""","=""""",,"=""35116.78""","=""47975.54""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""7D""","=""4""",,"=""""","=""L153""",
W,1,"=""777.673""","=""""","=""777.668""","=""0.004""","=""30""","=""""",,"=""24610.88""","=""37466.30""","=""5d4.6s2""","=""1F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""777.781""","=""""","=""777.787""","=""0.004""","=""6""","=""""",,"=""30374.20""","=""43227.66""","=""5d4.6s2""","=""3F1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""777.971""","=""""","=""777.963""","=""0.004""","=""5""","=""""",,"=""28347.60""","=""41198.14""","=""5d5.(4F).6s""","=""5F""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""778.277""","=""""","=""778.276""","=""0.004""","=""12""","=""""",,"=""26861.64""","=""39707.02""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""778.415""","=""""","=""778.413""","=""0.004""","=""100""","=""""",,"=""18974.51""","=""31817.63""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""778.565""","=""""","=""778.563""","=""0.004""","=""3""","=""""",,"=""13348.56""","=""26189.20""","=""5d4.6s2""","=""3G""","=""3""","=""5d4.6s.(6D).6p""","=""7D*""","=""3""",,"=""""","=""L153""",
W,1,"=""779.013""","=""""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""779.333""","=""""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""779.757""","=""""","=""779.755""","=""0.004""","=""5""","=""""",,"=""29430.50""","=""42251.51""","=""""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
W,1,"=""779.839""","=""""","=""779.832""","=""0.004""","=""6""","=""""",,"=""15069.93""","=""27889.68""","=""5d4.6s2""","=""3H""","=""5""","=""5d5.(6S).6p""","=""7P*""","=""4""",,"=""""","=""L153""",
W,1,"=""779.964""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""780.160""","=""""","=""780.157""","=""0.004""","=""8""","=""""",,"=""33291.80""","=""46106.20""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,1,"=""780.265""","=""""","=""780.265""","=""0.004""","=""2""","=""""",,"=""28291.88""","=""41104.52""","=""5d5.(2F1).6s""","=""3F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""780.587""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
