element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""""","=""904.9889""","=""""","=""""","=""2.60e+07""",B,"=""99663.912""","=""110710.739""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""",,"=""T5714n""","=""""",
N,1,"=""""","=""""","=""906.0475""","=""""","=""""","=""3.21e+07""",C,"=""93581.550""","=""104615.470""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T7370""","=""""",
N,2,"=""""","=""""","=""906.951""","=""""","=""""","=""1.85e+07""",C+,"=""203189.03""","=""214211.96""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.5s""","=""3P*""","=""0""",,"=""T5520LS""","=""""",
N,2,"=""""","=""""","=""908.948""","=""""","=""""","=""7.64e+06""",C+,"=""203258.98""","=""214257.69""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T5520LS""","=""""",
N,4,"=""""","=""""","=""916.507""","=""""","=""""","=""4.23e+06""",B,"=""484498.2""","=""495406.2""","=""1s2.2p.(2P*).3p""","=""3D""","=""1""","=""1s2.2p.(2P*).3d""","=""3F*""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""""","=""918.216""","=""""","=""""","=""4.45e+06""",B,"=""484594.9""","=""495482.6""","=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""1s2.2p.(2P*).3d""","=""3F*""","=""3""",,"=""T5633LS""","=""""",
N,1,"=""""","=""""","=""918.7453""","=""""","=""""","=""2.44e+07""",C+,"=""99663.427""","=""110544.850""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""918.7863""","=""""","=""""","=""1.76e+06""",C+,"=""99663.912""","=""110544.850""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""920.7592""","=""""","=""""","=""2.70e+06""",C+,"=""99663.427""","=""110521.050""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""""","=""920.8003""","=""""","=""""","=""2.33e+07""",C+,"=""99663.912""","=""110521.050""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""T5714""","=""""",
N,2,"=""""","=""""","=""921.706""","=""""","=""""","=""4.07e+06""",C+,"=""203537.66""","=""214384.13""","=""2s2.2p.4p""","=""3S""","=""1""","=""2s2.2p.5s""","=""3P*""","=""2""",,"=""T5520LS""","=""""",
N,4,"=""""","=""""","=""922.299""","=""""","=""""","=""4.95e+06""",B,"=""484746.2""","=""495585.7""","=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""1s2.2p.(2P*).3d""","=""3F*""","=""4""",,"=""T5633LS""","=""""",
N,3,"=""""","=""""","=""923.074""","=""""","=""""","=""1.51e+07""",B,"=""368514.4""","=""379344.8""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""924.021""","=""""","=""""","=""1.08e+07""",B,"=""368578.3""","=""379397.6""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""""","=""924.704""","=""""","=""""","=""7.66e+05""",B,"=""484594.9""","=""495406.2""","=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""1s2.2p.(2P*).3d""","=""3F*""","=""2""",,"=""T5633LS""","=""""",
N,3,"=""""","=""""","=""926.899""","=""""","=""""","=""5.97e+06""",B,"=""368514.4""","=""379300.1""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""928.552""","=""""","=""""","=""4.75e+06""",B,"=""368578.3""","=""379344.8""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""""","=""931.155""","=""""","=""""","=""5.36e+05""",B,"=""484746.2""","=""495482.6""","=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""1s2.2p.(2P*).3d""","=""3F*""","=""3""",,"=""T5633LS""","=""""",
N,3,"=""""","=""""","=""932.423""","=""""","=""""","=""2.93e+07""",B,"=""368578.3""","=""379300.1""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""932.577""","=""""","=""""","=""3.93e+06""",C+,"=""203537.66""","=""214257.69""","=""2s2.2p.4p""","=""3S""","=""1""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T5520LS""","=""""",
N,3,"=""""","=""""","=""934.210""","=""""","=""""","=""2.45e+07""",B,"=""368696.3""","=""379397.6""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""""","=""936.121""","=""""","=""""","=""9.51e+05""",C+,"=""110521.050""","=""121200.5""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
N,2,"=""""","=""""","=""936.573""","=""""","=""""","=""3.88e+06""",C+,"=""203537.66""","=""214211.96""","=""2s2.2p.4p""","=""3S""","=""1""","=""2s2.2p.5s""","=""3P*""","=""0""",,"=""T5520LS""","=""""",
N,4,"=""""","=""""","=""937.829""","=""""","=""""","=""2.07e+04""",B,"=""484746.2""","=""495406.2""","=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""1s2.2p.(2P*).3d""","=""3F*""","=""2""",,"=""T5633LS""","=""""",
N,1,"=""""","=""""","=""938.212""","=""""","=""""","=""1.36e+07""",C+,"=""110544.850""","=""121200.5""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
